50/2201 71s
100/2201 191s
150/2201 260s
200/2201 329s
250/2201 424s
300/2201 520s
350/2201 617s
400/2201 703s
450/2201 774s
500/2201 843s
550/2201 914s
600/2201 984s
650/2201 1087s
700/2201 1182s
750/2201 1278s
800/2201 1375s
850/2201 1444s
900/2201 1553s
950/2201 1647s
1000/2201 1757s
1050/2201 1828s
1100/2201 1923s
1150/2201 2019s
1200/2201 2090s
1250/2201 2159s
1300/2201 2228s
1350/2201 2323s
1400/2201 2393s
1450/2201 2488s
1500/2201 2608s
1550/2201 2707s
1600/2201 2828s
1650/2201 2898s
1700/2201 2994s
1750/2201 3065s
1800/2201 3136s
1850/2201 3207s
1900/2201 3302s
1950/2201 3397s
2000/2201 3492s
2050/2201 3562s
2100/2201 3656s
2150/2201 3750s
2200/2201 3845s
